"city","category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url"
"taipei","suspected_closed","Google matched a different active business at the same address","OPERATIONAL","旺來咖啡","105台北市松山區南京東路三段335巷13-1號","https://www.facebook.com/wonlaicoffee/?fref=ts","Oasis Coffee Roasters - Nanjing","105臺北市松山區南京東路三段335巷13-1號","ChIJgRbU1SKrQjQREeIz-NXP5_g",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","明日咖啡","新富市場","","明日咖啡 MOT CAFÉ 新富町店","三水街70號","ChIJLcvGsqipQjQRhMVgIA7LuWQ","https://maps.google.com/?cid=7258055536017458564&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
"taipei","suspected_closed","Google matched a different active business at the same address","OPERATIONAL","杯盃 PuiBui","台北市信義路四段30巷48號","https://www.facebook.com/PuiBui.taipei/","水哥咖啡","106臺北市大安區信義路四段30巷48號","ChIJdZVY-YirQjQRqNDujb7pFlk",""
"taipei","suspected_closed","Google matched a different active business at the same address","OPERATIONAL","泡咖啡精品咖啡館 PowerCafe","241新北市三重區重陽路四段61號","","泡咖啡精品咖啡館 PowerCoffee |三重手沖咖啡推薦|SCA國際咖啡老師|國際烘豆師|咖啡豆|金杯大師|永生花束|場地租借|空瑜|舞蹈教室|生日抓週|拉花體驗","重陽路四段61號","ChIJlzsSnoypQjQRLxr9ud6xJZE",""
"taipei","suspected_closed","Google matched a different active business at the same address","OPERATIONAL","波浮 habu juice&foods","台北市大安區安和路二段227巷4號","","NORM PATISSERIE 日式費南雪專門","106臺北市大安區安和路二段227巷4號","ChIJY6gsNgCrQjQRContd5GvVM4",""
"taipei","suspected_closed","Google matched a different active business at the same address","OPERATIONAL","牧童咖啡 mutto coffee(連興店)","新北市汐止區連興街34號","https://www.facebook.com/muttocoffee","牧童咖啡_連興店","連興街34號","ChIJQ6052GtTXTQRlgMIzy26hDo",""
"taipei","suspected_closed","Google matched a different active business at the same address","OPERATIONAL","牧童咖啡 mutto coffee(福德店)","新北市汐止區福德一路106巷9號","https://www.facebook.com/muttocoffee","牧童咖啡_福德店","福德一路106巷9號","ChIJsxgW6qysQjQRD4f5W5aAKPk",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","空兩格café","新北市淡水區中山路90巷20號","https://www.facebook.com/keeptwoblanks/","空兩格復古咖啡館","中山路90巷20號","ChIJwcqwLFilQjQRRHMgQ_k0Xxg","https://maps.google.com/?cid=1756180624875483972&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","芽可咖啡","100台北市中正區思源街1號","","芽可咖啡","思源街1號","ChIJDenQR_OpQjQRv4M1gfeongc","https://maps.google.com/?cid=549061985563935679&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
"taipei","suspected_closed","Google matched a different active business at the same address","OPERATIONAL","虎記商行","台北市中正區寧波東街1-1號","https://www.facebook.com/tigerdrinks/","Tiger Coffee","寧波東街1-1號","ChIJC-Q8rJ6pQjQRBVg9QGtw-XQ",""
